Counter,Date/time,Latitude,Longitude,Elevation,Temperature,Humidity,Pressure,Compass,Orient_pitch,Orient_roll,Orient_yaw,Comp_x,Comp_y,Comp_z,gyro_pitch,gyro_roll,gyro_yaw,gyro_x,gyro_y,gyro_z,accel_pitch,accel_roll,accel_yaw,accel_x,accel_y,accel_z
1,2022-04-15 18:11:02.915708,-38.369007077926575,130.60545359684227,428.2404704085957,35.2403,28.7927,1017.9524,46.8763,0.0,0.0,46.87634642479538,12.168203353881836,-12.992469787597656,-3.673616409301758,0.001883745037189192,359.99967605126466,46.8751579718798,0.001330208033323288,3.97413969039917e-05,-0.0005261003971099854,359.45651747215214,1.2473708744146892,47.20711882592076,0.018543999642133713,0.030499998480081558,0.016103999689221382
2,2022-04-15 18:11:08.146348,-38.16126667181903,130.92155484697568,428.1377940605844,35.3292,29.0406,1017.936,47.4833,358.9526933705029,2.4369534392526044,47.473639637523824,21.87900733947754,-24.03754425048828,-6.645096778869629,358.95517443671895,2.4365963484250597,47.465849806775424,0.001526113599538803,0.0005473718047142029,0.0010472051799297333,358.4347147690159,3.525024345263615,47.7368785432307,0.019763998687267303,0.031964000314474106,0.014883999712765217
3,2022-04-15 18:11:13.385580,-37.95211166710551,131.23640472769242,428.0345789951362,35.2225,28.8478,1017.9692,47.9904,357.93217303538336,4.720881612792951,47.95263397382765,24.479040145874023,-26.41861343383789,-7.0141496658325195,357.93306309440953,4.721832289748052,47.91526259378393,0.004652172327041626,0.0006960704922676086,-0.001588897779583931,357.4040845799859,5.782297705567987,48.18004512224323,0.020983999595046043,0.033427998423576355,0.016103999689221382
4,2022-04-15 18:11:18.629966,-37.74177878300808,131.5496664758775,427.9309468597126,35.2759,28.8295,1017.9668,48.3915,356.9114038252459,6.916508246969726,48.336903831627154,24.990995407104492,-27.13557243347168,-7.104789733886719,356.91382341975935,6.918026683399584,48.283566884398525,0.0016753971576690674,0.0020189136266708374,0.00028133392333984375,356.4671160279924,8.097748482788411,48.54118454441848,0.02025200054049492,0.031231999397277832,0.014151999726891518
5,2022-04-15 18:11:23.870421,-37.530648058855846,131.86080781873483,427.8270891577423,35.3292,28.7591,1018.0076,48.7317,355.9703493260248,9.208503727693504,48.657335326349134,24.815650939941406,-27.188926696777344,-7.582900524139404,355.97235910918806,9.212980062920801,48.58414643429786,0.0012376606464385986,0.00216645747423172,0.00035055726766586304,355.47240548364243,10.304130103587017,48.85017888737527,0.020739998668432236,0.028547998517751694,0.01512799970805645
6,2022-04-15 18:11:29.103490,-37.31887786427207,132.16964069250017,427.723087535467,35.2225,28.8264,1017.9797,49.0059,354.94599213213894,11.297199481545498,48.91359719381884,24.58372688293457,-27.001190185546875,-7.30401611328125,354.94754045064644,11.295580726712204,48.82462373459567,0.0021316297352313995,0.0017208009958267212,0.0020918771624565125,354.4718297277861,12.278268217132265,49.05076446782562,0.02000799961388111,0.03147599846124649,0.014883999712765217
7,2022-04-15 18:11:34.342675,-37.10592699646015,132.47698981373824,427.6186805352525,35.2936,28.7683,1017.9727,49.1566,354.0174262069284,13.288225237813602,49.04474707116684,24.43434715270996,-26.980195999145508,-7.735297203063965,354.02089551614,13.29017781814258,48.93614364826905,0.0029098764061927795,0.0015605464577674866,3.2436102628707886e-05,353.60127003787557,14.405499044507826,49.164456381655064,0.02025200054049492,0.03171999752521515,0.019519999623298645
8,2022-04-15 18:11:39.584766,-36.89193464715887,132.78267986802496,427.51394136006894,35.2047,29.6372,1017.9883,49.2099,353.17936541086243,15.254725492319483,49.09757175420772,24.023120880126953,-26.828662872314453,-6.496589660644531,353.18248339221856,15.252643992169922,48.987824274623954,0.002278350293636322,0.0026093199849128723,0.0009139981120824814,352.7263906802018,16.162169057521744,49.18823227015588,0.020739998668432236,0.03147599846124649,0.017079999670386314
9,2022-04-15 18:11:44.827351,-36.67701294794674,133.08658119248386,427.40892967850607,35.2581,28.8325,1017.99,49.2355,352.29315178114786,17.03366533712223,49.109036226729586,23.904499053955078,-26.88668441772461,-6.300178050994873,352.29491396995377,17.035429233475384,48.98544053860362,-0.0016874372959136963,-0.0004820972681045532,4.3585896492004395e-07,351.8815628742156,17.960322224459738,49.1676836460379,0.01903199963271618,0.031964000314474106,0.013907999731600285
10,2022-04-15 18:11:50.062100,-36.46152317000779,133.38822283028787,427.30382631566897,35.2047,28.8233,1017.9863,49.19,351.4947854832171,18.895274376544226,49.04515688251704,23.643569946289062,-26.879179000854492,-7.095522403717041,351.49695065318394,18.894109829290738,48.90430472145304,0.0018473006784915924,7.839500904083252e-05,-0.0008424241095781326,351.1110739933822,19.726173719265446,49.05431616619403,0.01878799870610237,0.03245199844241142,0.01439599972218275
11,2022-04-15 18:11:55.298493,-36.24507672049257,133.68818705659632,427.1984461978571,35.2759,28.8998,1017.9622,49.0397,350.75092665618394,20.620424774085826,48.87577843638448,23.422101974487305,-26.546133041381836,-7.406210422515869,350.751411599615,20.618356934314605,48.716611123061085,-0.0005889870226383209,0.0010014921426773071,-0.00025495514273643494,350.39488767777135,21.49777964844689,48.86631179419484,0.018055999651551247,0.032207999378442764,0.01268799975514412
12,2022-04-15 18:12:00.531776,-36.02789158990856,133.98620554133774,427.09290025533323,35.3292,28.8356,1017.9604,48.8293,350.05533165337334,22.40503879854156,48.648531212508985,23.13519287109375,-26.101024627685547,-7.610276222229004,350.05530091752206,22.40226061909666,48.46548214275264,0.0014401152729988098,0.0015574023127555847,-0.00023757293820381165,349.70091228356773,23.16069506981863,48.592479265085274,0.018543999642133713,0.03171999752521515,0.018055999651551247
13,2022-04-15 18:12:05.771081,-35.809596078188584,134.28281823969095,426.9870129835099,35.1692,28.9733,1018.0134,48.4875,349.37934526989625,23.879620291286663,48.277931978333264,22.977840423583984,-25.615921020507812,-7.982179641723633,349.37815425565975,23.878756272356657,48.07623990723737,-0.00222112238407135,-0.0009132549166679382,-0.001831023022532463,349.01137736609826,24.696358944311154,48.21632708711433,0.019276000559329987,0.030988000333309174,0.016835998743772507
14,2022-04-15 18:12:11.007179,-35.59058369321357,134.5775200713208,426.88098048358523,35.1692,28.9274,1017.9626,48.1113,348.6695161528554,25.404232919702107,47.89845008314194,23.118852615356445,-25.847549438476562,-7.624419212341309,348.6727613464848,25.40810392941421,47.689463370012476,0.0006407462060451508,0.000522121787071228,0.0006119348108768463,348.3391808838369,26.173231965522795,47.810996341009094,0.019519999623298645,0.0331839993596077,0.013175999745726585
15,2022-04-15 18:12:16.246397,-35.370603598953615,134.8706803279297,426.77468646869573,35.2225,28.8203,1017.9646,47.7155,348.01374200667965,26.984614042690705,47.49844688458931,22.838451385498047,-25.885112762451172,-7.601415634155273,348.01338171420093,26.98237886328482,47.28730866187129,0.0024790577590465546,0.0001634657382965088,0.0006334688514471054,347.65016335319706,27.675846262168918,47.40669012327936,0.018543999642133713,0.030743999406695366,0.014151999726891518
16,2022-04-15 18:12:21.490867,-35.149571657928014,135.16243577786773,426.6680960356228,35.3292,28.5266,1017.9507,47.2735,347.3339836512334,28.399397229252344,47.03921570064892,22.427444458007812,-25.584728240966797,-8.029104232788086,347.3317074906925,28.39717912531938,46.80884708032273,0.001823917031288147,-0.00010491162538528442,-0.0008334703743457794,346.99281740973856,29.160714019804058,46.93080693814248,0.02000799961388111,0.030988000333309174,0.01439599972218275
17,2022-04-15 18:12:26.731277,-34.92789242659204,135.45228253787633,426.5614096934806,35.2047,28.603,1017.9592,46.7914,346.65675331955373,29.8485926163998,46.5493784390377,22.540550231933594,-25.636886596679688,-7.866444110870361,346.65695139503964,29.847356352160027,46.31083408227501,-0.0008187666535377502,-0.0019509121775627136,-0.0016560852527618408,346.29367156233326,30.504311267288532,46.420946976979366,0.019763998687267303,0.030499998480081558,0.014639999717473984
18,2022-04-15 18:12:31.962896,-34.70578562178324,135.73997424221454,426.45473779045295,35.1692,28.6214,1017.9382,46.2609,345.97112441651586,31.152871879927094,46.01023745690274,22.44027328491211,-25.536653518676758,-7.7783637046813965,345.969374180541,31.15611621978285,45.76681634507266,-0.0017791129648685455,0.001053832471370697,-0.0009921547025442123,345.6254946463984,31.88009578123669,45.887014014086546,0.02025200054049492,0.03245199844241142,0.015615999698638916
19,2022-04-15 18:12:37.203521,-34.48249608403553,136.02651932818046,426.34772315147416,35.3114,28.5174,1017.9609,45.7152,345.3335621159883,32.50328565620324,45.46647585179427,21.995132446289062,-25.412635803222656,-7.577697277069092,345.33363041788,32.50452192044301,45.22264834370858,0.001157362014055252,-0.0007431134581565857,-0.0030651427805423737,345.03981958544813,33.114522700122265,45.30286550041579,0.020739998668432236,0.03245199844241142,0.010979999788105488
20,2022-04-15 18:12:42.444976,-34.25838616616518,136.3114753842917,426.240545658324,35.2581,28.9335,1017.9514,45.1485,344.72668273275974,33.84449575257279,44.8851345458724,22.124311447143555,-25.706111907958984,-8.089340209960938,344.73108137458524,33.84462894126161,44.626529923517374,-0.0006323084235191345,-0.0007428824901580811,0.0006408281624317169,344.47023815772974,34.42109690721068,44.697225796521586,0.02000799961388111,0.03245199844241142,0.013663999736309052
