datetime,picture_file,latitude,longitude,temp_cpu,temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2021-04-16 19:46:29.962262,atlantes_001.jpg,11.886358792746103,-45.17091307584031,44.39,34.48,31.79,30.39,983.42,7.45,71.12,102.53,-5.0307,-3.822,25.2093,-0.002222,0.030592,0.014622,0.305225,0.10314,-0.002145
2021-04-16 19:46:44.962429,atlantes_002.jpg,11.236406529064153,-44.6825306445223,47.62,34.5,31.79,30.1,983.44,344.69,198.55,125.88,-8.7845,-5.3102,33.1412,-0.003949,0.030349,0.015353,0.30492,0.104362,0.001215
2021-04-16 19:46:59.962440,atlantes_003.jpg,10.485258182639294,-44.12205556651482,47.62,34.38,31.77,30.24,983.49,359.01,23.61,92.0,-9.3343,-5.4971,33.3206,-0.001481,0.029135,0.01316,0.302782,0.104056,0.000604
2021-04-16 19:47:14.962711,atlantes_004.jpg,9.732912845562389,-43.56460967740422,47.62,34.44,31.74,30.06,983.45,356.46,161.77,128.08,-9.5366,-5.0359,32.5943,-0.004443,0.030349,0.017059,0.300949,0.104362,0.001215
2021-04-16 19:47:29.962854,atlantes_005.jpg,8.979464432934527,-43.009970996042505,48.69,34.48,31.71,29.84,983.45,332.19,282.3,105.15,-9.4583,-4.8565,32.3283,-0.003209,0.031077,0.019252,0.304309,0.101307,0.001826
2021-04-16 19:47:44.962878,atlantes_006.jpg,8.225005152309503,-42.457910711092474,48.69,34.48,31.67,30.0,983.46,9.01,83.44,109.23,-8.9933,-5.8939,31.3713,-0.002962,0.029621,0.01779,0.305225,0.103445,0.001215
2021-04-16 19:47:59.963053,atlantes_007.jpg,7.4696272112411135,-41.90819659612234,48.69,34.4,31.66,30.22,983.47,340.42,214.1,126.25,-9.2974,-5.5539,30.8344,-0.002222,0.030592,0.01584,0.2982,0.102834,-0.000618
2021-04-16 19:48:14.963079,atlantes_008.jpg,6.71341982907539,-41.360616915267826,48.15,34.25,31.64,30.26,983.46,1.8,35.22,97.03,-9.0305,-5.3154,30.1133,-0.002468,0.02865,0.014134,0.303698,0.104972,-7e-06
2021-04-16 19:48:29.963089,atlantes_009.jpg,5.956472225158366,-40.81494285719175,48.69,34.29,31.62,30.1,983.44,352.45,169.06,131.89,-9.1801,-5.3403,28.1675,-0.002715,0.028892,0.01584,0.302171,0.103751,0.001826
2021-04-16 19:48:44.963280,atlantes_010.jpg,5.198872338175606,-40.270955855840675,48.15,34.31,31.59,30.02,983.46,330.96,289.52,105.51,-8.968,-5.011,27.4944,-0.004937,0.031563,0.015353,0.302476,0.103751,0.000604
2021-04-16 19:48:59.967233,atlantes_011.jpg,4.440707253039028,-39.72844417535032,48.69,34.32,31.58,29.7,983.43,8.34,88.24,113.13,-8.9541,-4.8549,27.3058,-0.003703,0.029135,0.012916,0.306447,0.101307,0.000604
2021-04-16 19:49:14.967390,atlantes_012.jpg,3.682063627773725,-39.18718924966724,48.69,34.25,31.56,30.26,983.45,338.83,217.0,128.97,-8.7052,-4.7231,26.0121,-0.003703,0.03132,0.015353,0.305836,0.104362,0.000909
2021-04-16 19:49:29.967471,atlantes_013.jpg,2.9230264128575008,-38.64697592783259,48.15,34.19,31.55,30.01,983.43,0.75,37.61,100.28,-8.9645,-4.6337,25.4793,-0.003703,0.029378,0.018277,0.302476,0.104362,0.003658
2021-04-16 19:49:44.967597,atlantes_014.jpg,2.1636809856549792,-38.1075924739821,48.69,34.29,31.54,30.56,983.47,350.97,170.42,134.46,-8.9753,-4.9044,25.4177,-0.002468,0.031077,0.015597,0.307058,0.106805,0.001215
2021-04-16 19:49:59.967730,atlantes_015.jpg,1.4041121899222573,-37.56882373715691,48.69,34.25,31.54,30.44,983.46,330.75,291.25,107.5,-9.3513,-4.1646,24.0759,-0.003949,0.02865,0.018277,0.303087,0.104667,0.001215
2021-04-16 19:50:14.967789,atlantes_016.jpg,0.6444041223634907,-37.03045798149275,48.15,34.29,31.52,30.29,983.46,8.85,89.24,115.99,-8.5557,-4.163,23.033,-0.00469,0.031563,0.016328,0.303087,0.10314,-0.000923
2021-04-16 19:50:29.967840,atlantes_017.jpg,-0.11535898691503282,-36.49228688621994,48.69,34.32,31.52,30.11,983.47,338.09,217.9,130.17,-8.5847,-3.9273,22.4847,-0.003456,0.031077,0.01316,0.302782,0.103445,0.000604
2021-04-16 19:50:44.967988,atlantes_018.jpg,-0.8750932279721424,-35.95409530037961,48.69,34.31,31.52,30.06,983.42,1.87,38.36,101.69,-8.5702,-4.2721,21.2489,-0.001975,0.030835,0.016815,0.302782,0.105583,0.001215
2021-04-16 19:50:59.968123,atlantes_019.jpg,-1.6347145307841087,-35.415671488107506,48.69,34.17,31.51,30.07,983.44,350.75,171.34,137.06,-8.458,-4.1946,21.1034,-0.001975,0.028892,0.013891,0.302171,0.102834,0.000604
2021-04-16 19:51:14.968274,atlantes_020.jpg,-2.3941388253272025,-34.876807128633935,48.69,34.17,31.51,30.25,983.45,330.86,291.58,110.32,-8.114,-3.8211,19.7267,-0.00469,0.029135,0.014622,0.304004,0.105278,0.001215
