Counter,Date/time,Latitude,Longitude,Elevation,Temperature,Humidity,Temperature_Humid,Temperature_Press,Pressure,Compass,Orient_pitch,Orient_roll,Orient_yaw,Comp_x,Comp_y,Comp_z,gyro_pitch,gyro_roll,gyro_yaw,gyro_x,gyro_y,gyro_z,accel_pitch,accel_roll,accel_yaw,accel_x,accel_y,accel_z
1,2022-04-19 22:38:03.249665,-50.77586158199663,2.932671388475313,435.49491012351234,35.0092,29.3404,35.0092,33.8583,1006.0688,1.0115,0.0,0.0,1.0114854889515386,16.41443634033203,-0.28980645537376404,0.9263883233070374,0.0012194361861143906,0.0011357392714736257,1.0123599666087117,0.0037416666746139526,0.0020164623856544495,-0.0007015913724899292,359.4473523187813,1.3468704022007902,1.3844515971180815,0.020739998668432236,0.031964000314474106,0.011711999773979187
2,2022-04-19 22:38:13.488708,-50.634144765020494,3.903363937110058,435.40716549471546,35.1336,29.267,35.1336,33.8563,1006.0786,1.7537,358.90305443710133,2.6774762029970764,1.7633506850741323,29.963998794555664,-1.100897192955017,2.4627652168273926,358.90583624508423,2.6812067669443724,1.772798330800141,-0.0003969520330429077,0.001819811761379242,-0.0008926279842853546,358.3798050640092,3.932110023098722,2.0969671129368797,0.016835998743772507,0.03245199844241142,0.0056119998916983604
3,2022-04-19 22:38:23.726619,-50.48365537660882,4.867936656443341,435.31563881962796,35.1336,29.27,35.1336,33.8458,1006.0742,2.4245,357.94425307870415,5.419839203109274,2.4190470311263583,32.93880844116211,-1.0675972700119019,1.740125298500061,357.9462720399341,5.420981125361135,2.4129845979077373,0.004189375787973404,0.0006480440497398376,-0.000816667452454567,357.3918843680244,6.596431068310942,2.729558102965716,0.02000799961388111,0.03269600123167038,0.013175999745726585
4,2022-04-19 22:38:33.966549,-50.32447849021305,5.826163729978176,435.2203518384807,35.1692,28.8845,35.1692,33.8438,1006.0986,2.9877,356.90259821730183,7.7877108284359,2.9580289979197003,33.620853424072266,-0.5843708515167236,1.7940635681152344,356.90630167393584,7.793557470365431,2.929075612584605,0.004858221858739853,-8.017569780349731e-05,-0.000475224107503891,356.4259199554569,8.871427061964203,3.1747673354268953,0.02025200054049492,0.03171999752521515,0.01903199963271618
5,2022-04-19 22:38:44.210654,-50.15667698196991,6.7779650100788515,435.1213127775889,35.0269,29.0803,35.0269,33.825,1006.0737,3.3659,355.95428173288917,9.84380694315307,3.346684690939997,33.688968658447266,-1.0968818664550781,1.8766183853149414,355.9537600771913,9.841949985472473,3.33184418397744,0.001361999660730362,0.00012905895709991455,-0.0020326562225818634,355.48631943275535,10.994970440961604,3.5912840104019086,0.02122800052165985,0.032207999378442764,0.01439599972218275
6,2022-04-19 22:38:54.442742,-49.98063672254363,7.7215692060012175,435.01871732751744,34.9203,29.2884,34.9203,33.8063,1006.0916,3.8099,354.99508497057207,12.05233751221929,3.7769315402506174,33.96879577636719,-0.8410556316375732,1.9591482877731323,354.9963336145297,12.053340696253636,3.744238839788351,0.0010255351662635803,-0.001756332814693451,-0.0016453489661216736,354.5530594600378,13.1357566325187,3.9711599221309775,0.020983999595046043,0.03171999752521515,0.010735999792814255
7,2022-04-19 22:39:04.689539,-49.79600329117323,8.659211344794729,434.9123291492199,35.1158,29.2578,35.1158,33.7938,1006.0823,4.2094,354.0648102174086,14.250877222077078,4.184830864370602,33.896026611328125,-1.3751007318496704,2.0074820518493652,354.0655905665212,14.253840670403216,4.163574461899876,0.00024404749274253845,0.00391802191734314,-0.0009814668446779251,353.59288213868797,15.329338478812703,4.413823628465858,0.019763998687267303,0.0302559994161129,0.011711999773979187
8,2022-04-19 22:39:14.937160,-49.603125406833186,9.589364882555854,434.8023219344883,34.9736,29.1507,34.9736,33.7792,1006.0823,4.6101,353.129003864791,16.35545828839123,4.572572165815763,33.8836555480957,-1.12557852268219,1.6536118984222412,353.1282008906767,16.357570524392056,4.533185453080062,-0.0010125376284122467,-0.0003849118947982788,0.0005317460745573044,352.68732199814934,17.311473036328742,4.734792146811328,0.02000799961388111,0.03147599846124649,0.012931999750435352
9,2022-04-19 22:39:25.180999,-49.402212803822906,10.511398850476393,434.68878545076967,35.0092,29.0895,35.0092,33.7583,1006.0945,4.8922,352.25313370280077,18.27806262464873,4.851067152807509,34.0164794921875,-1.0614005327224731,2.2067666053771973,352.25350167924233,18.279339870023524,4.810623468297749,-0.0009840168058872223,0.0013924166560173035,-0.0024274252355098724,351.796550924711,19.217912022368118,5.015882605687679,0.02025200054049492,0.031964000314474106,0.010247999802231789
10,2022-04-19 22:39:35.428372,-49.19324203405376,11.425783798238127,434.57167765593664,34.9736,29.3251,34.9736,33.7417,1006.0825,5.1849,351.36999280443905,20.23269201037713,5.145876473518654,33.91548156738281,-0.9863860607147217,2.693662166595459,351.37046152617086,20.233228180226973,5.106238324444131,-0.0033050402998924255,0.0010280758142471313,-0.0005911439657211304,350.9953868105415,21.196498296610336,5.280706542168821,0.02147199958562851,0.03245199844241142,0.013419999741017818
11,2022-04-19 22:39:45.666948,-48.97659544454299,12.33124163244945,434.45118412350786,34.938,28.9335,34.938,33.7292,1006.0605,5.4236,350.57008459130316,22.082194539495276,5.384638969447967,34.179595947265625,-0.9669334888458252,2.74830961227417,350.57167602537976,22.084991501960396,5.342585067841375,0.002674877643585205,0.0012723952531814575,0.0012524016201496124,350.2180190754402,22.962880838624013,5.491791830920773,0.018055999651551247,0.031964000314474106,0.01268799975514412
12,2022-04-19 22:39:55.913965,-48.752032165560905,13.229144109684293,434.32714370635375,34.9914,29.2333,35.0269,33.7083,1006.0369,5.5875,349.87756402739274,23.83860842041532,5.546407731071487,34.09943771362305,-1.1680407524108887,2.645289897918701,349.8759452725594,23.840577222443578,5.508419072681523,-4.730746150016785e-05,0.0004194900393486023,0.0015290621668100357,349.54266789955597,24.64218188381461,5.6364462729183575,0.020495999604463577,0.030743999406695366,0.01878799870610237
13,2022-04-19 22:40:06.164869,-48.5197669156421,14.118925685995505,434.19965029584085,34.9914,29.4781,34.9914,33.6958,1006.0806,5.707,349.16982238691696,25.293384072114677,5.662708777163879,33.81924057006836,-0.9814333915710449,2.4968035221099854,349.1701476746762,25.29443762879415,5.616207995520787,-0.0036471672356128693,0.002834416925907135,0.00031598471105098724,348.81390635190945,26.116638725607363,5.7601794186013695,0.022204000502824783,0.030499998480081558,0.012199999764561653
14,2022-04-19 22:40:16.400503,-48.280372049223566,14.99881953065038,434.0689916886935,35.0269,29.062,35.0269,33.6854,1006.0317,5.8835,348.37621246196943,26.913609103626545,5.842774761800218,34.144805908203125,-0.9122454524040222,2.8662633895874023,348.3722108248894,26.911092178917393,5.800581695089288,0.0006269700825214386,0.0010699257254600525,-0.0003359522670507431,347.9410747703262,27.753906786645704,5.9780364130285655,0.020495999604463577,0.031964000314474106,0.014883999712765217
15,2022-04-19 22:40:26.637879,-48.033598429878516,15.870176035206363,433.93500655007847,34.9558,29.4444,34.9558,33.6708,1006.0627,6.0514,347.591056603667,28.468071366262237,6.008409410493966,34.164939880371094,-1.0549962520599365,2.849454164505005,347.59153642445625,28.46985404563561,5.9648276809474075,-0.0008736923336982727,0.000799909234046936,0.0012189429253339767,347.33990115637556,29.25556144171344,6.059966666556984,0.019519999623298645,0.03245199844241142,0.01634800061583519
16,2022-04-19 22:40:36.886584,-47.77933170683109,16.733697295094803,433.7976113575398,34.9203,29.2456,34.9203,33.6604,1006.0547,6.116,347.0369250638512,29.910822469927783,6.080729587860177,34.48604965209961,-1.4333418607711792,2.9001054763793945,347.0363180307887,29.910870281251974,6.051830203708207,-0.002039790153503418,-0.0015649199485778809,-0.0014751888811588287,346.7224375412544,30.646167466160527,6.158738885918185,0.019763998687267303,0.030499998480081558,0.014639999717473984
17,2022-04-19 22:40:47.133517,-47.51801648722947,17.588190704241768,433.65702583600034,34.9558,29.1446,34.9558,33.6542,1006.0354,6.2361,346.3914738948323,31.291934531428552,6.214994458356526,34.4837760925293,-1.7553719282150269,2.9895169734954834,346.38879987577224,31.293560116451015,6.196025742370931,0.00018475204706192017,0.0008911266922950745,0.002737870439887047,346.0328163926467,31.997520393447548,6.320043194678145,0.020739998668432236,0.03294000029563904,0.012443999759852886
18,2022-04-19 22:40:57.385034,-47.249620279121984,18.434112578603578,433.5132127284105,34.8314,29.27,34.8314,33.6396,1006.04,6.4058,345.71332917157747,32.711821576847484,6.380837854706782,34.6108512878418,-1.4666475057601929,3.1424801349639893,345.71297570928795,32.71010036917664,6.354194140528208,0.0011521801352500916,0.0011735856533050537,0.00024879537522792816,345.35393827782974,33.38705749328953,6.472139554663281,0.020983999595046043,0.03245199844241142,0.009271999821066856
19,2022-04-19 22:41:07.633564,-46.974471531167566,19.270782660759227,433.3663296215447,34.8847,29.1171,34.8847,33.6333,1006.0376,6.5681,345.0232546691636,34.16244447353147,6.533578386908015,34.504085540771484,-1.4159963130950928,2.5987353324890137,345.0241408862084,34.16480088879513,6.4941459972822395,0.0001322031021118164,-0.00038714706897735596,0.0008701775223016739,344.73886096004986,34.74456100592415,6.572571936879618,0.020739998668432236,0.030499998480081558,0.013175999745726585
20,2022-04-19 22:41:17.874148,-46.692847125211046,20.09776698361037,433.21650650918815,34.9914,29.2272,34.9914,33.6229,1006.0344,6.6322,344.4128116347356,35.3526254269737,6.594987763961954,34.63032913208008,-1.2687432765960693,2.8397955894470215,344.4142169461573,35.35160772878737,6.556059954561112,-0.0017022602260112762,0.0021001994609832764,0.0005561318248510361,344.1444859456443,36.10599529242611,6.657089124556179,0.020983999595046043,0.030988000333309174,0.014151999726891518
21,2022-04-19 22:41:28.114526,-46.404676715963916,20.915665340575963,433.06369002144356,34.9203,30.6683,34.9203,33.6125,1006.0452,6.7128,343.8355206309915,36.66645671005526,6.69287035118376,34.439388275146484,-1.4210505485534668,3.9073398113250732,343.83896816897504,36.66533997412596,6.68480859352903,-0.0030994676053524017,0.001091107726097107,0.000844169408082962,343.59106474550214,37.1982449935487,6.749418341095942,0.01756799966096878,0.03171999752521515,0.013663999736309052
22,2022-04-19 22:41:38.355783,-46.11005464517086,21.72456386751153,432.9079165680311,34.8847,29.4047,34.8847,33.6083,1006.0413,6.7962,343.384449815562,37.770707053549565,6.783538124207918,34.30549240112305,-1.522240400314331,3.44469952583313,343.3854453156335,37.76989084594375,6.763541464752236,0.0008703507483005524,4.0493905544281006e-05,-0.0003305915743112564,343.1099803713123,38.30580114860128,6.833309285802978,0.019276000559329987,0.030499998480081558,0.012931999750435352
23,2022-04-19 22:41:48.601414,-45.809011409217945,22.5247129778518,432.74919066632765,34.8314,29.3343,34.8314,33.6021,1006.0466,6.8733,342.8492003337066,38.85751650899824,6.841645104798155,34.25101852416992,-1.4863137006759644,2.7900383472442627,342.8462138334921,38.857536999565745,6.805525783806658,-0.0009755417704582214,-0.000829257071018219,-3.1949952244758606e-05,342.5319107260029,39.40242558588727,6.88704409155076,0.02025200054049492,0.030743999406695366,0.013175999745726585
24,2022-04-19 22:41:58.849991,-45.501712660352226,23.315998034823743,432.58758991037433,34.8491,29.1232,34.8491,33.5938,1006.0354,6.9348,342.26236414059747,39.92733245379192,6.917472157416344,34.13006591796875,-2.2208199501037598,2.7686922550201416,342.2591966403699,39.9280188878035,6.900454741099257,-0.002289719879627228,0.0012997612357139587,-0.0009729638695716858,341.9716149404611,40.39016314742491,6.965188712731699,0.020495999604463577,0.030988000333309174,0.014151999726891518
25,2022-04-19 22:42:09.093838,-45.188520405690014,24.097844041516062,432.4232961618897,34.8136,29.1752,34.8136,33.5917,1006.0396,7.0186,341.71545723337624,40.87097089895337,7.012081803365245,34.447410583496094,-1.9867782592773438,3.454423189163208,341.71586021453726,40.872504276422035,7.005581597709509,0.00019411370158195496,0.0006312578916549683,-0.001260712742805481,341.54188675864054,41.429598410790376,7.051111211829991,0.01903199963271618,0.0302559994161129,0.012931999750435352
26,2022-04-19 22:42:19.342666,-44.86926315000966,24.871025986371826,432.25621291422993,34.7247,29.3679,34.7247,33.5812,1006.0173,7.0859,341.3137396573419,41.919456162969105,7.068428729583735,34.55201721191406,-1.7226693630218506,3.4402754306793213,341.3128739308646,41.92005380452148,7.0552221319366915,0.0013646408915519714,0.0002422928810119629,-0.000635981559753418,341.03489376938154,42.44956080483213,7.125881719560943,0.019763998687267303,0.030743999406695366,0.012931999750435352
